pid,name,create_time,cores,cpu_usage,status,nice,memory_usage,n_threads,username
2352,sihost.exe,2023-05-23 09:18:21,16,0.0,running,32,4.235264,17,DESKTOP-ML12QO1\shell
2388,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,7,N/A
2444,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,3,N/A
2452,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,8,N/A
2480,amdfendrsr.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,4,N/A
2488,atiesrxx.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,4,N/A
2548,chrome.exe,2023-05-23 14:17:11,16,0.0,running,64,28.03712,27,DESKTOP-ML12QO1\shell
2744,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,13,N/A
2756,chrome.exe,2023-05-23 13:08:23,16,0.0,running,64,0.913408,21,DESKTOP-ML12QO1\shell
2764,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,1,N/A
2940,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,7,N/A
2964,msedgewebview2.exe,2023-05-23 09:23:23,16,0.0,running,32,0.180224,7,DESKTOP-ML12QO1\shell
2980,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,6,N/A
3056,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,8,N/A
3148,msedgewebview2.exe,2023-05-23 09:23:23,16,0.0,running,32768,2.138112,52,DESKTOP-ML12QO1\shell
3164,dasHost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,3,N/A
3204,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,3,N/A
3212,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,5,N/A
3220,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,4,N/A
3240,svchost.exe,2023-05-23 09:18:21,16,0.0,running,32,2.41664,10,DESKTOP-ML12QO1\shell
3252,atieclxx.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,9,N/A
3292,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,17,N/A
3316,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,2,N/A
3324,MemCompression,2023-05-23 09:17:38,0,0.0,running,0,0.0,42,N/A
3388,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,2,N/A
3396,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,8,N/A
3496,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,6,N/A
3508,svchost.exe,2023-05-23 09:19:39,0,0.0,running,0,0.0,2,N/A
3512,chrome.exe,2023-05-23 10:15:51,16,0.0,running,64,14.544896,29,DESKTOP-ML12QO1\shell
3632,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,11,N/A
3656,svchost.exe,2023-05-23 09:19:39,0,0.0,running,0,0.0,12,N/A
3664,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,3,N/A
3672,svchost.exe,2023-05-23 09:18:21,16,0.0,running,32,0.294912,3,DESKTOP-ML12QO1\shell
3716,chrome.exe,2023-05-23 10:30:37,16,0.0,running,64,1.015808,25,DESKTOP-ML12QO1\shell
3808,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,6,N/A
3816,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,3,N/A
3932,chrome.exe,2023-05-23 09:50:41,16,0.0,running,32,8.4992,22,DESKTOP-ML12QO1\shell
4000,chrome.exe,2023-05-23 13:08:26,16,0.0,running,64,1.265664,21,DESKTOP-ML12QO1\shell
4052,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,1,N/A
4104,audiodg.exe,2023-05-23 09:17:38,16,0.0,running,32,0.0,4,N/A
4116,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,2,N/A
4128,msedgewebview2.exe,2023-05-23 09:18:39,16,0.0,running,32,0.180224,7,DESKTOP-ML12QO1\shell
4200,chrome.exe,2023-05-23 16:28:51,16,0.0,running,64,58.171392,27,DESKTOP-ML12QO1\shell
4224,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,13,N/A
4264,svchost.exe,2023-05-23 09:18:39,0,0.0,running,0,0.0,4,N/A
4276,spoolsv.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,14,N/A
4560,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,6,N/A
4584,NisSrv.exe,2023-05-23 09:17:42,0,0.0,running,0,0.0,6,N/A
4588,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,6,N/A
4668,svchost.exe,2023-05-23 09:17:40,0,0.0,running,0,0.0,2,N/A
4728,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,1,N/A
4748,mDNSResponder.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,2,N/A
4760,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,1,N/A
4772,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,12,N/A
4784,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,5,N/A
4792,svchost.exe,2023-05-23 09:18:21,16,0.0,running,32,6.180864,7,DESKTOP-ML12QO1\shell
4796,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,17,N/A
4804,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,3,N/A
4812,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,6,N/A
4820,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,20,N/A
4828,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,8,N/A
4836,sqlwriter.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,2,N/A
4908,sqlservr.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,72,N/A
4920,svchost.exe,2023-05-23 09:19:58,0,0.0,running,0,0.0,4,N/A
4928,sqlbrowser.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,7,N/A
4984,MsMpEng.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,67,N/A
4992,svchost.exe,2023-05-23 09:17:50,0,0.0,running,0,0.0,1,N/A
4996,svchost.exe,2023-05-23 09:17:50,0,0.0,running,0,0.0,2,N/A
5036,OfficeClickToRun.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,19,N/A
5256,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,7,N/A
5272,chrome.exe,2023-05-23 09:50:47,16,0.0,running,64,3.043328,29,DESKTOP-ML12QO1\shell
5284,chrome.exe,2023-05-23 10:15:07,16,0.0,running,64,1.101824,22,DESKTOP-ML12QO1\shell
5312,chrome.exe,2023-05-23 13:52:12,16,0.0,running,64,4.104192,25,DESKTOP-ML12QO1\shell
5396,svchost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,11,N/A
5520,chrome.exe,2023-05-23 13:55:33,16,0.0,running,64,1.036288,21,DESKTOP-ML12QO1\shell
5632,wlanext.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,2,N/A
5664,conhost.exe,2023-05-23 09:17:38,0,0.0,running,0,0.0,2,N/A
6324,svchost.exe,2023-05-23 09:17:50,0,0.0,running,0,0.0,4,N/A
6364,chrome.exe,2023-05-23 09:50:40,16,0.0,running,32,65.232896,27,DESKTOP-ML12QO1\shell
6388,AggregatorHost.exe,2023-05-23 09:17:39,0,0.0,running,0,0.0,3,N/A
6676,jucheck.exe,2023-05-23 09:23:39,16,0.0,running,32,0.131072,3,DESKTOP-ML12QO1\shell
6736,svchost.exe,2023-05-23 09:17:39,0,0.0,running,0,0.0,3,N/A
